medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Gold Medal,1,7/27/2024,Remco EVENEPOEL,BEL,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903136
Silver Medal,2,7/27/2024,Filippo GANNA,ITA,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1923520
Bronze Medal,3,7/27/2024,Wout van AERT,BEL,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903147
Gold Medal,1,7/27/2024,Grace BROWN,AUS,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1940173
Silver Medal,2,7/27/2024,Anna HENDERSON,GBR,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1912525
Bronze Medal,3,7/27/2024,Chloe DYGERT,USA,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1955079
Gold Medal,1,7/27/2024,China,CHN,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-CHN01
Silver Medal,2,7/27/2024,United States,USA,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-USA01
Bronze Medal,3,7/27/2024,Great Britain,GBR,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-GBR01
Gold Medal,1,7/27/2024,OH Sanguk,KOR,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1927149
Silver Medal,2,7/27/2024,Fares FERJANI,TUN,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1937783
Bronze Medal,3,7/27/2024,Luigi SAMELE,ITA,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,1924595
Gold Medal,1,7/27/2024,KONG Man Wai Vivian,HKG,W,Fencing,Women's Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1963262
Silver Medal,2,7/27/2024,Auriane MALLO-BRETON,FRA,W,Fencing,Women's Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1916183
Bronze Medal,3,7/27/2024,Eszter MUHARI,HUN,W,Fencing,Women's Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--,1946375
Gold Medal,1,7/27/2024,Yeldos SMETOV,KAZ,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1935408
Silver Medal,2,7/27/2024,Luka MKHEIDZE,FRA,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1891304
Bronze Medal,3,7/27/2024,NAGAYAMA Ryuju,JPN,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000100--,1896752
Bronze Medal,3,7/27/2024,Francisco GARRIGOS,ESP,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000200--,1563544
Gold Medal,1,7/27/2024,TSUNODA Natsumi,JPN,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1896735
Silver Medal,2,7/27/2024,Baasankhuu BAVUUDORJ,MGL,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1914467
Bronze Medal,3,7/27/2024,Shirine BOUKLI,FRA,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1891280
Bronze Medal,3,7/27/2024,Tara BABULFATH,SWE,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000200--,1571911
Gold Medal,1,7/27/2024,France,FRA,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,RU7MTEAM7---FRA01
Silver Medal,2,7/27/2024,Fiji,FIJ,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,RU7MTEAM7---FIJ01
Bronze Medal,3,7/27/2024,South Africa,RSA,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,RU7MTEAM7---RSA01
Gold Medal,1,7/27/2024,China 1,CHN,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,SHOXARMT----CHN01
Silver Medal,2,7/27/2024,Korea 1,KOR,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,SHOXARMT----KOR01
Bronze Medal,3,7/27/2024,Kazakhstan 1,KAZ,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000200--,SHOXARMT----KAZ01
Gold Medal,1,7/27/2024,United States,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRUSA01
Silver Medal,2,7/27/2024,Australia,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRAUS01
Bronze Medal,3,7/27/2024,Italy,ITA,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRITA01
Gold Medal,1,7/27/2024,Lukas MAERTENS,GER,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,1907192
Silver Medal,2,7/27/2024,Elijah WINNINGTON,AUS,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,1946172
Bronze Medal,3,7/27/2024,KIM Woomin,KOR,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,4654306
Gold Medal,1,7/27/2024,Australia,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRAUS01
Silver Medal,2,7/27/2024,United States,USA,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRUSA01
Bronze Medal,3,7/27/2024,China,CHN,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRCHN01
Gold Medal,1,7/27/2024,Ariarne TITMUS,AUS,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1946150
Silver Medal,2,7/27/2024,Summer McINTOSH,CAN,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1967140
Bronze Medal,3,7/27/2024,Katie LEDECKY,USA,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1935938
Gold Medal,1,7/28/2024,Korea,KOR,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,ARCWTEAM3---KOR01
Silver Medal,2,7/28/2024,China,CHN,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,ARCWTEAM3---CHN01
Bronze Medal,3,7/28/2024,Mexico,MEX,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000200--,ARCWTEAM3---MEX01
Gold Medal,1,7/28/2024,Jessica FOX,AUS,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1940205
Silver Medal,2,7/28/2024,Klaudia ZWOLINSKA,POL,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1942126
Bronze Medal,3,7/28/2024,Kimberley WOODS,GBR,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1896045
Gold Medal,1,7/28/2024,Pauline FERRAND PREVOT,FRA,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1895672
Silver Medal,2,7/28/2024,Haley BATTEN,USA,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1955070
Bronze Medal,3,7/28/2024,Jenny RISSVEDS,SWE,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1564023
Gold Medal,1,7/28/2024,KANO Koki,JPN,M,Fencing,Men's Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1896548
Silver Medal,2,7/28/2024,Yannick BOREL,FRA,M,Fencing,Men's Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1916194
Bronze Medal,3,7/28/2024,Mohamed ELSAYED,EGY,M,Fencing,Men's Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--,1936462
Gold Medal,1,7/28/2024,Lee KIEFER,USA,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950611
Silver Medal,2,7/28/2024,Lauren SCRUGGS,USA,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950643
Bronze Medal,3,7/28/2024,Eleanor HARVEY,CAN,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--,1973213
Gold Medal,1,7/28/2024,ABE Hifumi,JPN,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1896763
Silver Medal,2,7/28/2024,Willian LIMA,BRA,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1953840
Bronze Medal,3,7/28/2024,Gusman KYRGYZBAYEV,KAZ,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000100--,1935410
Bronze Medal,3,7/28/2024,Denis VIERU,MDA,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000200--,1561138
Gold Medal,1,7/28/2024,Diyora KELDIYOROVA,UZB,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1566997
Silver Medal,2,7/28/2024,Distria KRASNIQI,KOS,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1550162
Bronze Medal,3,7/28/2024,Larissa PIMENTA,BRA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1953817
Bronze Medal,3,7/28/2024,Amandine BUCHARD,FRA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1891283
Gold Medal,1,7/28/2024,XIE Yu,CHN,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1913907
Silver Medal,2,7/28/2024,Federico Nilo MALDINI,ITA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551388
Bronze Medal,3,7/28/2024,Paolo MONNA,ITA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551387
Gold Medal,1,7/28/2024,OH Ye Jin,KOR,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893972
Silver Medal,2,7/28/2024,KIM Yeji,KOR,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893930
Bronze Medal,3,7/28/2024,Manu BHAKER,IND,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1538159
Gold Medal,1,7/28/2024,YOSHIZAWA Coco,JPN,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902055
Silver Medal,2,7/28/2024,AKAMA Liz,JPN,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902069
Bronze Medal,3,7/28/2024,Rayssa LEAL,BRA,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1955689
Gold Medal,1,7/28/2024,Nicolo MARTINENGHI,ITA,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1925633
Silver Medal,2,7/28/2024,Adam PEATY,GBR,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1956469
Silver Medal,2,7/28/2024,Nic FINK,USA,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1935901
Gold Medal,1,7/28/2024,Leon MARCHAND,FRA,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1909294
Silver Medal,2,7/28/2024,MATSUSHITA Tomoyuki,JPN,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1963635
Bronze Medal,3,7/28/2024,Carson FOSTER,USA,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1935903
Gold Medal,1,7/28/2024,Torri HUSKE,USA,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935923
Silver Medal,2,7/28/2024,Gretchen WALSH,USA,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935998
Bronze Medal,3,7/28/2024,ZHANG Yufei,CHN,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1945125
Gold Medal,1,7/29/2024,Korea,KOR,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---KOR01
Silver Medal,2,7/29/2024,France,FRA,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---FRA01
Bronze Medal,3,7/29/2024,TÃ¼rkiye,TUR,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000200--,ARCMTEAM3---TUR01
Gold Medal,1,7/29/2024,Japan,JPN,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----JPN01
Silver Medal,2,7/29/2024,China,CHN,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----CHN01
Bronze Medal,3,7/29/2024,United States,USA,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----USA01
Gold Medal,1,7/29/2024,Nicolas GESTIN,FRA,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1880479
Silver Medal,2,7/29/2024,Adam BURGESS,GBR,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1896030
Bronze Medal,3,7/29/2024,Matej BENUS,SVK,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1961080
Gold Medal,1,7/29/2024,Thomas PIDCOCK,GBR,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1912546
Silver Medal,2,7/29/2024,Victor KORETZKY,FRA,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1895687
Bronze Medal,3,7/29/2024,Alan HATHERLY,RSA,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1943604
Gold Medal,1,7/29/2024,China,CHN,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CHN01
Silver Medal,2,7/29/2024,Great Britain,GBR,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2GBR01
Bronze Medal,3,7/29/2024,Canada,CAN,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CAN01
Gold Medal,1,7/29/2024,Michael JUNG,GER,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1914921
Silver Medal,2,7/29/2024,Christopher BURTON,AUS,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1940438
Bronze Medal,3,7/29/2024,Laura COLLETT,GBR,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1970898
Gold Medal,1,7/29/2024,Great Britain,GBR,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMGBR01
Silver Medal,2,7/29/2024,France,FRA,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMFRA01
Bronze Medal,3,7/29/2024,Japan,JPN,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMJPN01
Gold Medal,1,7/29/2024,CHEUNG Ka Long,HKG,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1963245
Silver Medal,2,7/29/2024,Filippo MACCHI,ITA,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1924289
Bronze Medal,3,7/29/2024,Nick ITKIN,USA,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000200--,1950602
Gold Medal,1,7/29/2024,Manon APITHY-BRUNET,FRA,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916223
Silver Medal,2,7/29/2024,Sara BALZER,FRA,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916222
Bronze Medal,3,7/29/2024,Olga KHARLAN,UKR,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--,1897644
Gold Medal,1,7/29/2024,Hidayat HEYDAROV,AZE,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1972337
Silver Medal,2,7/29/2024,Joan-Benjamin GABA,FRA,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1891311
Bronze Medal,3,7/29/2024,Adil OSMANOV,MDA,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000100--,1563437
Bronze Medal,3,7/29/2024,HASHIMOTO Soichi,JPN,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000200--,1896740
Gold Medal,1,7/29/2024,Christa DEGUCHI,CAN,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1955526
Silver Medal,2,7/29/2024,HUH Mimi,KOR,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1928067
Bronze Medal,3,7/29/2024,FUNAKUBO Haruka,JPN,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000100--,1896733
Bronze Medal,3,7/29/2024,Sarah Leonie CYSIQUE,FRA,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000200--,1891286
Gold Medal,1,7/29/2024,SHENG Lihao,CHN,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1913899
Silver Medal,2,7/29/2024,Victor LINDGREN,SWE,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1572919
Bronze Medal,3,7/29/2024,Miran MARICIC,CRO,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1888047
Gold Medal,1,7/29/2024,BAN Hyojin,KOR,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1893845
Silver Medal,2,7/29/2024,HUANG Yuting,CHN,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1913945
Bronze Medal,3,7/29/2024,Audrey GOGNIAT,SUI,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1976545
Gold Medal,1,7/29/2024,HORIGOME Yuto,JPN,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1902081
Silver Medal,2,7/29/2024,Jagger EATON,USA,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944226
Bronze Medal,3,7/29/2024,Nyjah HUSTON,USA,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944232
Gold Medal,1,7/29/2024,Thomas CECCON,ITA,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1925635
Silver Medal,2,7/29/2024,XU Jiayu,CHN,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1945132
Bronze Medal,3,7/29/2024,Ryan MURPHY,USA,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1935957
Gold Medal,1,7/29/2024,David POPOVICI,ROU,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1543549
Silver Medal,2,7/29/2024,Matthew RICHARDS,GBR,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1903617
Bronze Medal,3,7/29/2024,Luke HOBSON,USA,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1935918
Gold Medal,1,7/29/2024,Tatjana SMITH,RSA,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1962589
Silver Medal,2,7/29/2024,TANG Qianting,CHN,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1945200
Bronze Medal,3,7/29/2024,Mona Mc SHARRY,IRL,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1543304
Gold Medal,1,7/29/2024,Mollie O'CALLAGHAN,AUS,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946218
Silver Medal,2,7/29/2024,Ariarne TITMUS,AUS,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946150
Bronze Medal,3,7/29/2024,HAUGHEY Siobhan Bernadette,HKG,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1925125
Gold Medal,1,7/29/2024,Summer McINTOSH,CAN,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1967140
Silver Medal,2,7/29/2024,Katie GRIMES,USA,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1935909
Bronze Medal,3,7/29/2024,Emma WEYANT,USA,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1936001
